V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20
14,19,8,21,16,23,17,25,13,11,5,22,24,9,2,7,1,6,3,15
23,10,21,25,14,3,24,16,13,1,15,18,7,5,8,9,12,20,11,2
19,16,7,17,21,8,14,6,5,2,22,1,9,18,4,15,23,20,12,10
8,6,18,23,9,17,7,22,1,11,14,21,13,16,3,12,5,4,19,20
24,8,16,12,6,22,4,13,2,7,9,19,15,21,5,18,20,23,10,11
5,23,2,12,9,18,19,17,13,25,11,3,6,15,16,7,20,8,24,14
15,21,8,17,5,23,7,24,25,16,3,13,1,2,4,19,11,12,10,14
10,5,24,21,12,22,9,4,19,20,15,13,18,8,1,25,16,11,17,2
1,5,16,21,8,20,25,3,9,24,11,19,18,6,10,13,14,12,4,2
7,18,22,11,15,8,24,10,25,19,12,2,4,6,1,17,16,14,23,21
23,10,13,17,18,20,5,24,15,6,1,3,7,25,14,19,8,21,4,11
24,19,11,18,5,25,3,9,7,14,4,16,13,2,22,21,1,6,23,12
23,21,22,12,9,15,11,5,4,7,17,6,1,25,18,19,24,14,20,2
21,13,2,24,9,5,15,17,3,4,12,1,7,6,22,14,8,19,18,23
9,8,14,18,21,17,3,20,13,25,7,23,12,2,10,4,1,16,24,15
11,12,7,6,25,22,3,10,8,18,20,5,23,4,17,13,2,14,16,21
3,21,13,8,19,24,25,6,2,4,17,9,10,14,22,20,18,11,15,7
25,22,20,14,23,15,19,3,13,12,18,8,10,9,1,17,6,21,11,24
12,14,24,5,25,20,16,3,11,6,23,18,9,8,15,4,2,7,17,1
25,19,11,6,12,13,1,3,23,21,24,4,8,2,9,15,22,14,7,20
